Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дубас,Онисим,Денисович,male,2004-05-20,Тестувальник,село Снігурівка,"вулиця Бехтерєва, буд. 4, Корюківка, 21183",+380 38 740 60 11,artymoleksandr@example.net
Фартушняк,Арсен,Васильович,male,1971-11-20,Менеджер з продукту,селище Балта,"набережна Мазараті, буд. 0 кв. 1, Кодима, 56079",571-14-76,adababko@example.com
Дубенко,Христина,Зеновіївна,female,1983-03-10,Офіс-менеджер,селище Болград,"вулиця Старицького, буд. 36, Баштанка, 10269",016 587-31-23,zlatoslava28@example.org
Штокало,Аліна,Михайлівна,female,1997-03-07,Архітектор,селище Скалат,"площа Студентський 4-й, буд. 6, Миронівка, 57783",+380 (19) 028-00-31,orysia01@example.com
Палій,Маруся,Тарасівна,female,1938-07-04,Аудитор,місто Судова Вишня,"провулок Грецький, буд. 73 кв. 2, Привілля, 05835",+380 90 380 03 64,lupiileopold@example.com
Ейбоженко,Владислав,Сергійович,male,1939-06-30,HR-менеджер,село Моршин,"шосе Лінія 24-та, буд. 4, Калинівка , 40706",817-88-09,azaralekseienko@example.com
Забара,Юхим,Олегович,male,1944-12-01,Офіс-менеджер,місто Біляївка,"проспект Вертелецького, буд. 549 кв. 99, Армянськ, 26348",663 07 57,okhrymovychvalerii@example.com
Філіпенко,Панас,Євгенович,male,1965-04-08,Програміст,село Бобринець,"проспект Моторний 1-й, буд. 20, Старий Крим, 67405",+380 (26) 151-35-20,artemiaremko@example.com
Москаль,Охрім,Андрійович,male,1940-05-17,HR-менеджер,село Шаргород,"площа Данила Крижанівського, буд. 684 кв. 7, Жидачів, 52010",+380 (10) 027-56-84,ievtushokleonid@example.com
Зайченко,Левко,Остапович,male,1946-01-20,Офіс-менеджер,селище Тиврів,"провулок 19-й км Старокиївської дороги, буд. 39, Збараж, 48076",+380 61 448-64-59,moskalandrii@example.net
Єщенко,Єлисавета,Ігорівна,female,2004-11-04,Копірайтер,хутір Рені,"парк Соборна, буд. 3, Ананьїв, 84077",+380 13 439 89 10,hunkomariana@example.com
Шутько,Ілля,Зеновійович,male,1945-04-28,Менеджер з продукту,село Голубівка,"узвіз Байкальська, буд. 0, Каховка, 42130",+380 41 255 37 24,kovpakborys@example.net
Дуплій,Леопольд,Ігорович,male,1982-08-29,Фінансовий аналітик,селище Київ,"парк Зоопаркова, буд. 72, Залізне, 60589",073 465-10-13,orynadanko@example.org
Дробʼязко,Дмитро,Павлович,male,2003-11-30,Тестувальник,село Родинське,"провулок Мечникова, буд. 617, Славутич, 37997",+380 46 791 63 30,barannykviacheslav@example.com
Гайдабура,Веніямин,Михайлович,male,1942-02-13,Програміст,місто Стебник,"вулиця Мукачівський, буд. 700 кв. 08, Первомайський , 02354",017 670-95-58,suprunenkoazar@example.net
Жадан,Еріка,Сергіївна,female,1971-04-10,Інженер з якості,місто Городок,"вулиця Селищна, буд. 455, Радивилів, 89304",740 76 03,ebaidak@example.com
Малик,Богуслав,Тимофійович,male,1982-02-10,PR-менеджер,селище Шаргород,"проспект Восьмого березня 9-й, буд. 99 кв. 532, Феодосія, 49273",+380 31 113-02-43,ihnatholyk@example.com
Жарко,Тереза,Тимофіївна,female,2001-11-07,PR-менеджер,село Дрогобич,"сквер Ланжеронівський узвіз, буд. 166, Пустомити, 45443",+380 91 694 47 00,abairak@example.org
Приходько,Яків,Максимович,male,1989-12-19,Аудитор,село Ладижин,"узвіз Шевченка парк, буд. 634 кв. 77, Херсон, 54594",140-98-08,petrykklyment@example.net
Гайдабура,Аніта,Вікторівна,female,1980-10-20,HR-менеджер,селище Бахмач,"парк Одеса-Головна, буд. 921, Ланівці, 88050",015 209-79-59,klymentlutsenko@example.org
Удовиченко,Владислав,Остапович,male,1944-10-12,Менеджер з маркетингу,селище Кам'янець-Подільський,"площа Ризька, буд. 8, Таврійськ, 37900",+380 (92) 178-35-86,nadiiakozachenko@example.com
Цушко,Мирон,Тимофійович,male,1946-01-24,Програміст,хутір Герца,"вулиця Вапняний 2-й, буд. 4, Овруч, 77686",955 50 01,oksana05@example.org
Єфименко,Альбіна,Ярославівна,female,1946-03-27,Кадровий менеджер,місто Ізюм,"провулок Штурманська, буд. 4, Вашківці, 68997",+380 13 596-14-25,okhrim82@example.net
Якименко,Пантелеймон,Іванович,male,1996-11-15,Асистент керівника,село Пирятин,"сквер Чапаєва 2-й, буд. 8 кв. 1, Вишневе , 11898",+380 75 685-72-52,demian02@example.com
Швачка,Леопольд,Вікторович,male,2006-04-07,Бухгалтер,хутір Олександрівськ,"шосе Нова, буд. 6, Чоп, 21574",+380 (76) 479-30-77,halyna22@example.org
Бабенко,Сніжана,Данилівна,female,1961-03-28,Програміст,хутір Красногорівка,"набережна Проїзний 2-й, буд. 17, Заводське, 16576",093 567-03-13,olenachuiko@example.org
